;Vrouwen;;Mannen;
Rank;eerste_voornaam;aantal;eerste_voornaam;aantal
322;Pietertje;4.215;Tobias;3.834
323;Elsje;4.211;Lammert;3.833
324;Gerardina;4.200;Jim;3.822
325;Sietske;4.199;Coen;3.780
326;Josina;4.191;Henderikus;3.779
327;Roelofje;4.171;Ludovicus;3.779
328;Karlijn;4.144;Jacques;3.758
329;Maatje;4.143;Davy;3.749
330;Fatma;4.130;Joël;3.746
331;Sjoukje;4.116;Roeland;3.743
332;Larissa;4.107;Mathias;3.735
333;Mieke;4.102;Bert;3.735
334;Bente;4.068;Timothy;3.716
335;Stefanie;4.030;Philip;3.709
336;Klaasje;4.027;Yannick;3.668
337;Jeanne;4.018;Augustinus;3.657
338;Jenneke;4.017;Markus;3.641
339;Hanneke;3.984;Wim;3.628
340;Wietske;3.980;Lukas;3.618
341;Ivonne;3.944;Marvin;3.615
342;Eleonora;3.940;Hermannus;3.595
343;Sofie;3.902;Jeremy;3.563
344;Pietje;3.900;Giovanni;3.522
345;Yolanda;3.884;Wiebe;3.506
346;Gesina;3.869;Jannes;3.504
347;Hilde;3.844;Jos;3.480
348;Nicolette;3.824;Julius;3.462
349;Marlies;3.817;Marcellinus;3.439
350;Margot;3.813;Ibrahim;3.436
351;Allegonda;3.798;Ties;3.424
352;Joke;3.793;Emile;3.419
353;Katharina;3.777;Ahmet;3.412
354;Hannah;3.774;Thom;3.395
355;Aafke;3.760;Onno;3.388
356;Gertrudis;3.756;Jorn;3.366
357;Erna;3.754;Johannis;3.361
358;Ashley;3.726;Jason;3.359
359;Debby;3.724;Lorenzo;3.355
360;Baukje;3.713;Mats;3.341
361;Jacomina;3.700;Theodoor;3.336
362;Nora;3.690;Mick;3.309
363;Veerle;3.686;Aloysius;3.272
364;Hanna;3.679;Frederikus;3.248
365;Danielle;3.675;Machiel;3.245
366;Willemijntje;3.673;Joeri;3.234
367;Mathilde;3.616;Boudewijn;3.193
368;Hilda;3.612;Alphonsus;3.171
369;Christel;3.594;Pierre;3.146
370;Adriaantje;3.592;Arnoud;3.099
371;Martje;3.577;Mohammad;3.094
372;Mireille;3.564;Sjors;3.073
373;Ruth;3.533;Remko;3.062
374;Hiltje;3.528;Adam;3.057
375;Kyra;3.521;Gert;3.053
376;Albertha;3.505;Colin;3.044
377;Indy;3.504;Leroy;3.034
378;Tineke;3.487;Carlo;3.027
379;Lamberta;3.479;Freek;3.001
380;Erica;3.474;Boris;2.992
381;Geertruda;3.436;Jerry;2.976
382;Evertje;3.428;Nathan;2.970
383;Mary;3.397;Ferry;2.960
384;Liesbeth;3.385;Jurjen;2.954
385;Gerharda;3.383;Mitchel;2.927
386;Marjolijn;3.382;Lambert;2.920
387;Carolien;3.369;Tygo;2.911
388;Aagje;3.345;Philippus;2.884
389;Carlijn;3.335;Mathieu;2.881
390;Rosanne;3.329;Roelf;2.880
391;Julie;3.329;Bernhard;2.878
392;Imke;3.321;Everardus;2.872
393;Angelina;3.287;Omar;2.850
394;Ineke;3.287;Jurre;2.844
395;Désirée;3.286;Jorrit;2.832
396;Marjon;3.279;Eelco;2.830
397;Debbie;3.278;Mika;2.825
398;Thi;3.275;Kasper;2.814
399;Albertje;3.270;Marnix;2.792
400;Gijsbertha;3.257;Diederik;2.769
401;Jentje;3.253;Jules;2.752
402;Noortje;3.245;Kay;2.751
403;Debora;3.232;Kenneth;2.734
404;Vivian;3.213;Ian;2.725
405;Marrigje;3.202;Henry;2.708
406;Samira;3.186;Rolf;2.708
407;Antoinetta;3.182;François;2.699
408;Thea;3.167;Raoul;2.694
409;Lonneke;3.158;Werner;2.691
410;Vanessa;3.154;Wijnand;2.687
411;Rita;3.148;Meindert;2.667
412;Willemijn;3.146;Felix;2.666
413;Gijsberta;3.141;Angelo;2.655
414;Leentje;3.134;Coenraad;2.653
415;Minke;3.134;Matthias;2.653
416;Heidi;3.125;Stefanus;2.647
417;Arnolda;3.118;Xander;2.645
418;Suzan;3.114;Iwan;2.619
419;Evi;3.104;Wilco;2.618
420;Noor;3.099;Tycho;2.604
421;Peggy;3.099;Lennart;2.590
422;Puck;3.087;Mart;2.584
423;Jitske;3.087;Jack;2.584
424;Esmeralda;3.058;Carel;2.557
425;Manuela;3.030;Randy;2.539
426;Kiki;3.028;Wolter;2.537
427;Gerrigje;2.997;Ben;2.516
428;Senna;2.990;Dani;2.508
429;Ramona;2.976;El;2.502
430;Zwaantje;2.970;Folkert;2.498
431;Annemiek;2.961;Hein;2.477
432;Mila;2.960;Roan;2.470
433;Trientje;2.948;Hasan;2.469
434;Leonarda;2.938;Eduardus;2.456
435;Brigitta;2.913;Bauke;2.455
436;Yara;2.898;Roberto;2.455
437;Madelon;2.896;Johann;2.454
438;Reina;2.892;Merijn;2.448
439;Beatrix;2.857;Ismail;2.447
440;Henny;2.853;Wout;2.446
441;Heleen;2.843;Rachid;2.430
442;Klasina;2.843;Willy;2.422
443;Mirthe;2.833;Davey;2.417
444;Ester;2.831;Andy;2.417
445;Kitty;2.828;Hindrik;2.409
446;Claire;2.824;Ralf;2.406
447;Harmke;2.816;Fokke;2.384
448;Angélique;2.793;Tommy;2.379
449;Selma;2.792;Hessel;2.375
450;Tara;2.786;Remy;2.373
451;Valerie;2.775;Gino;2.367
452;Juliana;2.773;Krijn;2.342
453;Celine;2.769;Youssef;2.332
454;Floortje;2.767;Rudolph;2.309
455;Lina;2.761;Sietse;2.287
456;Joëlle;2.757;Vincentius;2.277
457;Pien;2.731;Rowan;2.277
458;Silke;2.724;Jamie;2.266
459;Ina;2.693;Murat;2.246
460;Sandy;2.686;Léon;2.246
461;Akke;2.683;Said;2.245
462;Ay?e;2.679;Ricky;2.234
463;Dewi;2.660;Abel;2.234
464;Kristel;2.647;Hassan;2.230
465;Gemma;2.646;Willibrordus;2.228
466;Desirée;2.636;Dean;2.219
467;Mina;2.630;Aron;2.218
468;Geeske;2.617;Manuel;2.210
469;Loïs;2.614;Luke;2.208
470;Natalie;2.610;Nils;2.195
471;Maxime;2.599;Clemens;2.193
472;Gabriëlle;2.584;Jort;2.189
473;Annechien;2.580;Melle;2.186
474;Emily;2.565;Liam;2.173
475;Quinty;2.554;Jelte;2.167
476;Elvira;2.553;Kai;2.128
477;Aniek;2.544;Tijs;2.121
478;Kayleigh;2.541;Freerk;2.121
479;Kaylee;2.521;Tjerk;2.110
480;Soraya;2.520;Nigel;2.109
481;Hatice;2.519;Yassine;2.084
482;Jade;2.519;Bilal;2.079
483;Aletta;2.518;Engelbertus;2.078
484;Hilligje;2.518;Ivan;2.077
485;Jeanine;2.506;Jay;2.076
486;Gerrie;2.500;August;2.073
487;Sam;2.499;Ivar;2.073
488;Juliette;2.488;Siebe;2.058
489;Helga;2.481;Rijk;2.058
490;Ursula;2.477;Eugène;2.044
491;Linde;2.476;Adolf;2.030
492;Belinda;2.467;Robbie;2.024
493;Anje;2.465;Ron;2.023
494;Rinske;2.464;Franklin;2.019
495;Moniek;2.451;Dimitri;2.013
496;Arendina;2.437;Marcellus;2.012
497;Jozina;2.417;James;2.008
498;Dana;2.406;Lex;2.007
499;Elke;2.403;Yusuf;2.006
500;Paulien;2.397;Gustaaf;1.999
501;Marcella;2.397;Antoine;1.997
502;Jamie;2.382;Jan-Willem;1.984
503;Corine;2.371;Vince;1.981
504;Nicky;2.370;Harmannus;1.979
505;Huberdina;2.362;Heinrich;1.976
506;Else;2.357;Jari;1.970
507;Nikita;2.354;Robby;1.959
508;Megan;2.344;Herbert;1.959
509;Nanda;2.344;Koenraad;1.952
510;Ella;2.340;Sebastian;1.944
511;Jantine;2.337;Sil;1.939
512;Cheyenne;2.336;Valentijn;1.939
513;Helen;2.335;Duncan;1.935
514;Janet;2.328;Khalid;1.928
515;Emmy;2.320;Carlos;1.910
516;Mara;2.318;Muhammed;1.905
517;Khadija;2.310;Boy;1.894
518;Margreet;2.308;Delano;1.893
519;Roxanne;2.303;Gradus;1.891
520;Dorien;2.298;Florian;1.884
521;Christa;2.289;Edgar;1.877
522;Sacha;2.272;Samir;1.875
523;Geertrui;2.272;Stanley;1.871
524;Helene;2.270;Jacco;1.867
525;Aafje;2.268;Wilfred;1.862
526;Joy;2.267;Caspar;1.856
527;Babette;2.263;Lieuwe;1.842
528;Corina;2.263;Hüseyin;1.840
529;Dieuwke;2.252;Siem;1.840
530;Ria;2.250;Jip;1.835
531;Greta;2.241;Micha;1.834
532;Lijntje;2.240;Donny;1.815
533;Clazina;2.239;Jaimy;1.812
534;Stella;2.231;Govert;1.803
535;Apolonia;2.228;Owen;1.799
536;Margo;2.223;Rico;1.798
537;Nicoline;2.219;Serge;1.776
538;Marissa;2.216;Aalt;1.772
539;Huberta;2.200;Ömer;1.770
540;Arendje;2.183;Marlon;1.769
541;Emine;2.182;Wietse;1.768
542;Jennigje;2.166;Jouke;1.767
543;Veronique;2.165;Gertjan;1.764
544;Femmigje;2.145;Hamza;1.762
545;Constance;2.142;Alwin;1.757
546;;2.141;Christoffel;1.750
547;Sigrid;2.138;Maximiliaan;1.749
548;Alicia;2.125;Dominique;1.749
549;Sabina;2.097;Richardus;1.748
550;Dagmar;2.094;Brandon;1.742
551;Mariëtte;2.093;Karim;1.732
552;Hermanna;2.091;Boaz;1.731
553;Liza;2.087;Aaron;1.712
554;Audrey;2.083;Tomas;1.711
555;Alie;2.079;Harald;1.710
556;Diane;2.069;Gideon;1.707
557;Jolien;2.063;Zakaria;1.699
558;Janne;2.062;Timotheus;1.696
559;Albertina;2.060;Rudolphus;1.692
560;Albertine;2.050;Berry;1.688
561;Donna;2.044;Bouke;1.687
562;Tonia;2.034;Guillaume;1.682
563;Afra;2.031;Jamal;1.677
564;Joanne;2.027;Collin;1.674
565;Hedwig;2.024;Chiel;1.674
566;Egberdina;2.020;Jop;1.673
567;Charissa;2.019;Rein;1.667
568;Mirte;2.009;Jonas;1.665
569;Malika;2.008;Robbin;1.643
570;Jantien;2.007;Ruurd;1.638
571;Jetske;2.003;Carl;1.630
572;Desiree;1.998;Nino;1.622
573;Jessie;1.994;Johannus;1.614
574;Sylvana;1.987;Maxim;1.612
575;Lindsey;1.981;Lucien;1.609
576;Fenne;1.979;Geurt;1.607
577;Erika;1.978;Egbertus;1.606
578;Stijntje;1.975;Axel;1.604
579;Hinke;1.967;Kelvin;1.604
580;Tine;1.967;Elias;1.604
581;Evelyn;1.963;Armand;1.600
582;Merle;1.962;Fredrik;1.592
583;Mirella;1.961;José;1.592
584;Isis;1.961;Waltherus;1.586
585;Guusje;1.957;Brent;1.579
586;Els;1.949;Donald;1.573
587;Joan;1.938;Mischa;1.570
588;Elske;1.936;Lourens;1.567
589;Noëlle;1.934;Loek;1.567
590;Annika;1.932;Etienne;1.566
591;Katja;1.921;Renzo;1.561
592;Madeleine;1.920;Mitch;1.556
593;Mascha;1.912;Roderick;1.546
594;Wanda;1.912;Osman;1.546
595;Hélène;1.903;Allard;1.541
596;Eefje;1.897;Christopher;1.539
597;Karina;1.887;Giel;1.536
598;Hermine;1.869;Quincy;1.535
599;Evy;1.868;Diego;1.534
600;Elena;1.867;Emre;1.528
601;Fabiënne;1.862;Lesley;1.522
602;Marjanne;1.861;Ayoub;1.518
603;Madelief;1.851;Romano;1.517
604;Bastiaantje;1.848;Remon;1.516
605;Anne-Marie;1.847;Ilias;1.488
606;Emilie;1.842;Senna;1.482
607;Aldegonda;1.836;Alphons;1.481
608;Lamberdina;1.835;Gabriël;1.475
609;Ilonka;1.827;Mustapha;1.471
610;Jane;1.824;Joran;1.455
611;Klaaske;1.824;Merlijn;1.450
612;Gretha;1.823;Jurriaan;1.449
613;Gaby;1.806;Maik;1.449
614;Sascha;1.802;Norbert;1.437
615;Lizzy;1.799;;1.437
616;Zeynep;1.795;Kaj;1.436
617;Jet;1.791;Wieger;1.433
618;Gwen;1.779;Sipke;1.429
619;Marianna;1.774;Gert-Jan;1.426
620;Derkje;1.770;Arne;1.426
621;Esra;1.764;Fedde;1.425
622;Francis;1.762;Antonio;1.411
623;Metje;1.758;Beau;1.408
624;Ruby;1.758;Younes;1.400
625;Pamela;1.758;Lennard;1.393
626;Boukje;1.757;Jans;1.393
627;Annet;1.755;Martien;1.392
628;Rosita;1.748;Friso;1.391
629;Selina;1.743;Abdullah;1.387
630;Rika;1.741;Ewout;1.387
631;Suze;1.740;Dominicus;1.386
632;Fiona;1.738;Sietze;1.384
633;Annetje;1.733;Hilbert;1.378
634;Bernarda;1.726;Elbert;1.378
635;Birgit;1.724;Reijer;1.367
636;Liselotte;1.721;Aaldert;1.363
637;Hillechien;1.721;Joachim;1.361
638;Jamila;1.717;Andrew;1.360
639;Yasmine;1.716;Yuri;1.356
640;Renata;1.714;Camiel;1.352
641;Geessien;1.706;Fatih;1.351
642;Berdina;1.706;Eelke;1.348
643;Shannon;1.690;Raymon;1.347
644;Kornelia;1.687;Alfons;1.339
645;Pleun;1.685;Perry;1.339
646;Hetty;1.684;Timon;1.337
647;Gina;1.683;Dingeman;1.337
648;Heintje;1.683;Sidney;1.335
649;Olivia;1.679;Taco;1.334
650;Fokje;1.677;Dylano;1.333
651;Benthe;1.676;Ingmar;1.330
652;Karima;1.676;Matthew;1.330
653;Inez;1.671;Renatus;1.324
654;Lidwina;1.665;Cornelus;1.320
655;Bregje;1.660;Calvin;1.316
656;Florence;1.656;Hielke;1.316
657;Arina;1.651;Yorick;1.308
658;Ellis;1.651;Reindert;1.307
659;Juliëtte;1.651;Igor;1.307
660;Dieuwertje;1.651;Fred;1.293
661;Daniëlla;1.648;Rodney;1.283
662;Nellie;1.646;Amir;1.281
663;Sheila;1.641;Gerald;1.281
664;Jannette;1.641;Sean;1.280
665;Dionne;1.632;Morris;1.278
666;Lindsay;1.632;Alain;1.273
667;Rosalia;1.631;Tiemen;1.268
668;Meryem;1.629;Hicham;1.268
669;Niesje;1.629;Juan;1.266
670;Sofia;1.626;Stephen;1.265
671;Dingena;1.625;Sebastianus;1.259
672;Anniek;1.622;Ramazan;1.259
673;Monika;1.622;Tarik;1.259
674;Eliza;1.619;Bo;1.255
675;Felicia;1.618;Rayan;1.254
676;Amina;1.613;Mimoun;1.250
677;Wijnanda;1.612;Tonny;1.249
678;Marretje;1.609;Rinze;1.248
679;Rowena;1.609;Miguel;1.242
680;Fay;1.594;Jürgen;1.240
681;Rachida;1.591;Wietze;1.237
682;Willemke;1.578;Thijn;1.236
683;Joukje;1.578;Bobby;1.233
684;Elsa;1.576;Gilbert;1.232
685;Gertrude;1.573;Josef;1.220
686;Marga;1.570;Everhardus;1.220
687;Manouk;1.567;Noud;1.220
688;Bibi;1.557;Marko;1.213
689;Herma;1.553;Huub;1.212
690;Annabel;1.550;Jorg;1.208
691;Victoria;1.543;Keano;1.204
692;Sijtske;1.540;Bruno;1.203
693;Frieda;1.535;Manfred;1.198
694;Alyssa;1.534;Sten;1.197
695;Marlou;1.533;Noël;1.193
